Designator,Mid X,Mid Y,Layer,Rotation
R115,160.3780mm,-121.0000mm,bottom,180
R116,164.6780mm,-113.0000mm,bottom,180
R117,171.6780mm,-113.0000mm,bottom,180
R118,169.3780mm,-106.0000mm,bottom,180
R119,192.9700mm,-96.4700mm,bottom,180
R120,192.9700mm,-100.4700mm,bottom,180
R121,193.1730mm,-121.0000mm,bottom,180
R122,199.9700mm,-96.4700mm,bottom,180
R123,197.4730mm,-113.0000mm,bottom,180
R124,199.9700mm,-104.4700mm,bottom,180
R125,225.5760mm,-121.0000mm,bottom,180
R126,233.0450mm,-112.8950mm,bottom,180
R127,225.5760mm,-117.0000mm,bottom,180
R128,214.3480mm,-104.4700mm,bottom,180
R129,218.6480mm,-104.4700mm,bottom,180
R130,215.6450mm,-110.9450mm,bottom,180
R131,240.0260mm,-100.4700mm,bottom,180
R132,240.0260mm,-104.4700mm,bottom,180
R20,373.5700mm,-119.9200mm,top,0
R204,155.0000mm,-134.0000mm,bottom,180
R206,148.0000mm,-138.0000mm,bottom,180
R207,148.0000mm,-134.0000mm,bottom,180
R21,377.5800mm,-120.0200mm,top,0
R210,160.5950mm,-150.5950mm,bottom,180
R211,160.5950mm,-154.5950mm,bottom,180
R212,169.3780mm,-138.0000mm,bottom,180
R213,169.3780mm,-142.0000mm,bottom,180
R214,169.3780mm,-134.0000mm,bottom,180
R215,160.5950mm,-158.5950mm,bottom,180
R216,164.8950mm,-150.5950mm,bottom,180
R217,171.8950mm,-150.5950mm,bottom,180
R218,169.3780mm,-146.0000mm,bottom,180
R219,192.8980mm,-134.0000mm,bottom,180
R22,357.7450mm,-62.4200mm,bottom,0
R220,192.8980mm,-138.0000mm,bottom,180
R221,193.1730mm,-161.0000mm,bottom,180
R222,199.8980mm,-134.0000mm,bottom,180
R223,197.4730mm,-153.0000mm,bottom,180
R224,199.8980mm,-142.0000mm,bottom,180
R225,225.5760mm,-161.0000mm,bottom,180
R226,229.8760mm,-153.0000mm,bottom,180
R227,225.5760mm,-157.0000mm,bottom,180
R228,214.2760mm,-142.0000mm,bottom,180
R229,218.5760mm,-142.0000mm,bottom,180
R23,353.7700mm,-65.0950mm,bottom,180
R230,218.5760mm,-146.0000mm,bottom,180
R231,239.9540mm,-138.0000mm,bottom,180
R232,239.9540mm,-142.0000mm,bottom,180
R24,286.6600mm,-123.2900mm,top,0
R25,283.3150mm,-119.9150mm,top,90
R303,216.2450mm,-121.8950mm,top,0
R304,220.7450mm,-121.8950mm,top,0
R305,216.2450mm,-125.8950mm,top,0
R306,227.7450mm,-125.8950mm,top,0
R307,227.7450mm,-121.8950mm,top,0
R308,220.7450mm,-125.8950mm,top,0
R309,276.2450mm,-112.8950mm,top,0
R310,276.2450mm,-116.8950mm,top,0
R311,280.7450mm,-108.8950mm,top,0
R313,207.0000mm,-122.0000mm,top,0
R314,207.0000mm,-126.0000mm,top,0
R315,211.5000mm,-118.0000mm,top,0
R317,230.0000mm,-139.0000mm,top,0
R318,200.0000mm,-122.0000mm,top,0
R320,254.1450mm,-121.8950mm,top,0
R323,251.9000mm,-139.0000mm,top,0
R328,254.1450mm,-125.8950mm,top,0
R330,256.4000mm,-139.0000mm,top,0
R331,258.6450mm,-121.8950mm,top,0
R333,258.6450mm,-125.8950mm,top,0
R403,218.5000mm,-155.0000mm,top,0
R404,223.0000mm,-155.0000mm,top,0
R405,218.5000mm,-159.0000mm,top,0
R406,230.0000mm,-159.0000mm,top,0
R407,230.0000mm,-155.0000mm,top,0
R408,223.0000mm,-159.0000mm,top,0
R409,278.5000mm,-146.0000mm,top,0
R410,278.5000mm,-150.0000mm,top,0
R411,283.0000mm,-142.0000mm,top,0
R413,207.0000mm,-146.0000mm,top,0
R414,207.0000mm,-150.0000mm,top,0
R415,211.5000mm,-142.0000mm,top,0
R417,230.0000mm,-163.0000mm,top,0
R418,200.0000mm,-146.0000mm,top,0
R420,256.4000mm,-155.0000mm,top,0
R423,251.9000mm,-163.0000mm,top,0
R428,256.4000mm,-159.0000mm,top,0
R430,256.4000mm,-163.0000mm,top,0
R431,260.9000mm,-155.0000mm,top,0
R433,260.9000mm,-159.0000mm,top,0
R501,278.5500mm,-93.7650mm,top,0
R502,278.5500mm,-97.7650mm,top,0
R503,128.8200mm,-63.7950mm,top,270
R504,150.3450mm,-63.6450mm,top,270
R505,308.0000mm,-98.0000mm,top,0
R506,372.0000mm,-75.0000mm,top,0
R507,376.0000mm,-75.0000mm,top,0
R508,380.0000mm,-75.0000mm,top,0
R509,354.7200mm,-69.6450mm,bottom,180
R510,352.3950mm,-54.0950mm,bottom,180
R511,358.6700mm,-58.6950mm,bottom,180
R512,342.7680mm,-77.3210mm,bottom,180
R513,311.6950mm,-77.0950mm,bottom,180
R514,306.9200mm,-77.1700mm,bottom,180
R515,325.5200mm,-77.9950mm,bottom,180
R516,322.0200mm,-77.9950mm,bottom,180
R517,265.4700mm,-78.5950mm,bottom,90
R518,293.9450mm,-82.0950mm,bottom,90
R519,266.2700mm,-83.4700mm,bottom,90
R520,284.2300mm,-91.3650mm,bottom,90
R521,275.8700mm,-97.8950mm,bottom,180
R522,285.1200mm,-97.7450mm,bottom,90
RT301,220.4450mm,-115.4930mm,bottom,180
RT401,220.4180mm,-150.9380mm,bottom,180
RT501,337.6720mm,-65.8280mm,bottom,180
RT502,337.5540mm,-73.6800mm,bottom,180
RT503,266.2060mm,-92.7720mm,bottom,0
RT504,287.7300mm,-92.6340mm,bottom,180
RV1,212.1480mm,-69.2250mm,top,0
RV2,212.1480mm,-85.6810mm,top,0
RV3,234.1480mm,-69.2250mm,top,0
RV4,234.1480mm,-85.6810mm,top,0
RV5,256.1480mm,-69.2250mm,top,0
RV6,256.1480mm,-85.6810mm,top,0
SW1,273.6480mm,-80.6310mm,top,0
SW2,286.6480mm,-80.6310mm,top,0
SW4,118.8260mm,-134.9530mm,top,0
SW5,134.3260mm,-134.9530mm,top,0
SW6,118.8260mm,-147.6530mm,top,0
SW7,134.3260mm,-147.6530mm,top,0
SW8,118.8260mm,-160.3530mm,top,0
SW9,134.3260mm,-160.3530mm,top,0
TP1,104.0000mm,-54.0000mm,top,0
TP10,231.0950mm,-123.9480mm,bottom,180
TP11,233.3500mm,-157.0530mm,bottom,180
TP12,176.0450mm,-109.2950mm,bottom,180
TP13,176.5700mm,-156.8450mm,bottom,180
TP14,163.2010mm,-111.0030mm,bottom,180
TP15,251.3240mm,-140.9920mm,bottom,180
TP2,108.5000mm,-54.0000mm,top,0
TP3,113.0000mm,-54.0000mm,top,0
TP4,117.5000mm,-54.0000mm,top,0
TP5,122.0000mm,-54.0000mm,top,0
TP6,152.2800mm,-94.3470mm,bottom,180
TP7,152.2800mm,-134.3470mm,bottom,180
TP8,172.1280mm,-106.0000mm,bottom,180
TP9,172.1280mm,-146.0000mm,bottom,180
U1,363.8450mm,-131.3050mm,top,270
U10,278.5500mm,-93.2650mm,bottom,90
U101,184.0450mm,-101.9200mm,bottom,180
U102,226.8370mm,-102.4700mm,bottom,180
U103,163.1890mm,-100.0000mm,bottom,180
U104,184.4250mm,-117.0000mm,bottom,180
U106,208.1590mm,-102.4700mm,bottom,180
U201,184.2880mm,-140.0000mm,bottom,180
U202,226.7650mm,-140.0000mm,bottom,180
U203,163.1890mm,-140.0000mm,bottom,180
U204,184.4250mm,-157.0000mm,bottom,180
U206,208.0870mm,-140.0000mm,bottom,180
U3,151.0000mm,-105.0000mm,top,0
U301,218.9450mm,-112.8950mm,top,270
U302,241.9450mm,-125.8950mm,top,270
U4,183.2000mm,-120.0000mm,top,0
U401,221.2000mm,-146.0000mm,top,270
U402,244.2000mm,-159.0000mm,top,270
U5,312.6700mm,-105.6450mm,top,0
U6,334.1700mm,-117.0700mm,top,270
U7,313.0650mm,-123.1150mm,bottom,180
U8,148.2170mm,-161.5950mm,bottom,180
U9,343.9640mm,-65.0000mm,bottom,180
VT301,240.0450mm,-112.8950mm,top,0
VT302,257.8450mm,-112.8950mm,top,0
VT401,242.3000mm,-146.0000mm,top,0
VT402,260.1000mm,-146.0000mm,top,0
