Comment,Designator,Footprint,LCSC Part #,Qty,Note
0402WGF2201TCE,"R20,R21",R0402,C25879,2,
"0R  (IN GAIN -- OPEN, see docs/bbd-mki.md)","R104,R204",R0603,C21189,2,
100k,"R106,R115,R116,R117,R122,R124,R125,R128,R130,R206,R215,R216,R217,R222,R224,R225,R228,R230,R305,R309,R310,R317,R318,R320,R323,R328,R330,R331,R333,R405,R409,R410,R417,R418,R420,R423,R428,R430,R431,R433,R509,R510,R519,R520",R0603,C25803,44,
100nF,"C40,C41,C105,C106,C107,C108,C109,C111,C121,C122,C205,C206,C207,C208,C209,C211,C221,C222,C301,C302,C303,C304,C401,C402,C403,C404,C507,C508,C509,C510",C0603,C14663,30,
10k,"R118,R126,R218,R226,R308,R314,R408,R414,R505",R0603,C25804,9,
10uF,C42,C0805,C15850,1,
12x12 tactile,"SW4,SW5,SW6,SW7,SW8,SW9",KEY-TH_4P-L12.0-W12.0-P5.00-LS12.5,C54573007,6,
150k,"R303,R403",R0603,C22807,2,
15k,"R311,R411",R0603,C22809,2,
15nF C0G 0805,"C119,C219",C0805,,2,
1M,"R501,R502",R0603,C22935,2,
1N4148W,"D103,D104,D105,D106,D107,D203,D204,D205,D206,D207",SOD-123_L2.8-W1.8-LS3.7-RD,C81598,10,
1k,"R107,R207,R315,R415,R503,R504,R514,R516,R517,R518",R0603,C21190,10,
1k2,"R513,R515",R0603,C22765,2,
1nF C0G,"C114,C214,C309,C409",C0603,C163508,4,
1uF X7R 50V,"C113,C120,C213,C220,C306,C406,C501,C502,C503,C504,C505,C506,C511,C512",C0805,C28323,14,
2.2M,"R121,R221",R0603,C22938,2,
20k trim,"RT301,RT401,RT501,RT502,RT503,RT504",RES-ADJ-SMD_3224W,C55071,6,
220pF C0G,"C116,C216,C307,C407",C0603,C27675,4,
22k,"R110,R111,R129,R210,R211,R229",R0603,C31850,6,
22pF C0G,"C310,C410",C0603,C1653,2,
2k2,"R521,R522",R0603,C4190,2,
2nF C0G,"C305,C405",C0603,,2,
3.3uF,"C110,C210",C0805,,2,
33k,"R307,R407",R0603,C4216,2,
39k,"R123,R223",R0603,C23153,2,
3V9 zener,"D301,D401",SOD-123_L2.7-W1.6-LS3.7-RD-1,C213113,2,
4.7k,"R119,R219",R0603,C23162,2,
4.7nF C0G,"C308,C408",C0603,,2,
470R,"R131,R132,R231,R232,R306,R406",R0603,C23179,6,
470k,"R304,R404",R0603,C23178,2,
47k,"R113,R213,R506,R507,R508",R0603,C25819,5,
4M7,"R313,R413",R0603,C23163,2,
4R7,"R511,R512",R0603,,2,
51k,"R114,R214",R0603,C23196,2,
6.2k,"R127,R227",R0603,C4260,2,
62k,"R120,R220",R0603,C23221,2,
82k,"R112,R212",R0603,C23254,2,
AMS1117-3.3,"U5,U6",SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186,2,
AMS1117-5.0,U8,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6187,1,
ASMD1812-200,F1,F1812,C135364,1,
BEAD0805S601A20T,"FB1,FB2",R0805,,2,
BLM18PG121SN1D_C14709,"L1,L2",L0603,C14709,2,
CC0603JRNPO9BN103,C28,C0603,C389113,1,
CC0603JRX7R8BB104,"C31,C34,C35,C38,C39",C0603,C327087,5,
CC0805KKX7R9BB105,C30,C0805,C91185,1,
CD4046B,"U104,U204",SO-16_L10.3-W5.3-P1.27-LS7.8-BL,C2651237,2,
CL05B104KO5NNNC,"C21,C23,C26,C27",C0402,C1525,4,
CL21A106KAYNNNE,"C20,C22,C24,C25",C0805,C15850,4,
CUTOFF,RV1,RES-ADJ-TH_RK09L1240A12,C380211,1,
DKM10E-12,U7,PWRM-TH_DKMW30F-12,C6934792,1,
EC11L1525G01,ENC0,SW-TH_ALPS_EC11L1525G01,C2991196,1,
EC12E2430803,"ENC1,ENC2,ENC3,ENC4,ENC5,ENC6,ENC7,ENC8",SW-TH_EC12EXXXX,C470684,8,
ES_DAISY_PATCH_SM_REV1,U1,DAISY_PATCH_SM,,1,"module, socketed or hand soldered"
FACEPLATE 2x5 IDC,J12,IDC-TH_10P-P2.54_C5665,C5665,1,
FEEDBACK,RV5,RES-ADJ-TH_RK09L1240A12,C380211,1,
FILTER CV AMT,RV3,RES-ADJ-TH_RK09L1240A12,C380211,1,
HS242L01W4S01,DS1,LCD-TH_HS242L01W4S01,C5139768,1,
J113 / MMBFJ113,"Q1,Q2",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C891686,2,
MCP23017-E_SO,"U3,U4",SOIC-28_L18.0-W7.5-P1.27-LS10.3-BL,C47023,2,
OPA1688_FLAT,"U9,U10",SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,C206212,2,
PJ-376,"J2,J3,J4,J5,J6",AUDIO-TH_PJ-376,C22355746,5,
PJ-603_C41409498,"J7,J8,J9,J10",AUDIO-TH_PJ-603,C41409498,4,
RESONANCE,RV2,RES-ADJ-TH_RK09L1240A12,C380211,1,
RT0603BRD072K2L,"R24,R25",R0603,C861295,2,
RT0603BRD075K1L,"R22,R23",R0603,C122969,2,
RVT1E470M0505_C2977553,"C32,C33",CAP-SMD_BD5.0-L5.3-W5.3-LS6.3-FD,C2977553,2,
RVT1H220M0605,"C29,C36,C37",CAP-SMD_BD6.3-L6.6-W6.6-FD,C72505,3,
SW_DPDT_FLAT,"SW1,SW2",SW-TH_DW3_DPDT_2MD1T1B1M2QES,,2,no LCSC source -- hand solder
TFPUSH,J1,TF-SMD_TF-PUSH,C393941,1,
TIME,RV4,RES-ADJ-TH_RK09L1240A12,C380211,1,
TL072_FLAT,"U102,U103,U106,U202,U203,U206",SOIC-8_L4.9-W3.9-P1.27-LS6.1-BL,C67473,6,
TL074,"U302,U402",SOIC-14_3.9x8.7mm_P1.27mm,C12594,2,
TL084,"U301,U401",SOIC-14_3.9x8.7mm_P1.27mm,C8956,2,
TYPE-C-31-M-12,J11,USB-C_SMD-TYPE-C-31-M-12_1,C165948,1,
V3205SD,"U101,U201",DIP-8_SPECIAL_V3205SD,,2,no LCSC source -- hand solder
VTL5C3,"VT301,VT302,VT401,VT402",VACTROL-TH_VTL5C3,,4,"no LCSC source -- hand solder, Xvive reissue"
WET/DRY,RV6,RES-ADJ-TH_RK09L1240A12,C380211,1,
YLED0402Y,"D1,D2",LED0402-R-RD,C20608782,2,
